Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01589687,1,2,E2,"1,721.38",36,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0225-01304334-26,1,2,,"1,850.00",65,,PEMBROKE WEST C,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0724-01052367-25,1,1,C3,"1,387.00",39,,PEMBROKE WEST C,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0925-01584468,1,2,,"1,790.00",64,,PEMBROKE WEST C,09/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1024-01190711-25,1,1,,"1,218.00",64,,PEMBROKE WEST C,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01617305,1,2,A1,"2,441.00",65,,PEMBROKE EAST D,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01689796,1,2,A2,"2,081.00",65,,PEMBROKE EAST D,12/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1224-01234733-25,1,2,A3,"2,534.00",63,,PEMBROKE WEST B,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01463767,1,1,B3,"1,950.00",45,,PEMBROKE WEST C,06/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01690348,1,0,C1,"1,781.60",45,,PEMBROKE WEST C,12/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01542294,1,0,C1,"1,995.00",45,,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01619424,1,1,C1,"1,900.00",45,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0524-00987437-25,1,0,C2,"1,855.00",45,,PEMBROKE WEST C,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01749741,1,0,C3,"2,207.00",45,,PEMBROKE WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0525-01416645,1,2,C3,"1,681.00",45,,PEMBROKE WEST C,05/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1124-01202351-25,1,0,C3,"1,690.00",45,,PEMBROKE WEST C,11/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01593647,1,2,D2,"2,000.00",45,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0425-01401925,1,0,D2,"1,525.00",45,,PEMBROKE WEST C,04/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0325-01348971-26,1,1,B3,"2,200.00",50,,PEMBROKE WEST C,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01493195,1,0,C1,"2,059.00",50,,PEMBROKE WEST C,07/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01542095,1,1,C2,"1,707.00",50,,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0319-01458544-26,1,2,C2,"1,769.00",50,,PEMBROKE WEST C,03/2019,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0924-01126765-25,1,2,C2,"2,286.00",50,,PEMBROKE WEST C,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0125-01267967-25,1,1,C3,"1,734.00",50,,PEMBROKE WEST C,01/2025,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01684029,1,0,D1,"2,044.00",50,,PEMBROKE WEST C,12/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1125-01634517,1,0,D1,"1,995.00",50,,PEMBROKE WEST C,11/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1224-01252359-25,1,0,D1,"1,903.00",50,,PEMBROKE WEST C,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0225-01310750,1,0,D2,"1,924.00",50,,PEMBROKE WEST C,02/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01455510,1,2,G,"2,240.00",58,,PEMBROKE WEST C,06/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01588616,1,2,,"1,884.00",60,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0823-00656312-25,1,2,,950.00,60,,PEMBROKE WEST C,08/2023,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01480772,1,2,,"1,300.00",60,,PEMBROKE WEST C,07/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0525-01413543,1,2,,"1,900.00",60,,PEMBROKE WEST C,05/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0724-01079633-25,1,0,B3,"1,688.00",55,,PEMBROKE WEST C,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01589638,1,2,D2,"1,998.00",55,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0819-01513014-25,1,2,E2,"2,005.00",55,,PEMBROKE WEST C,08/2019,2025
