Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0324-00913620-25,4,6,E2,"3,174.00",130,,CLONTARF EAST C,03/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01556108,4,4,,"3,800.00",140,,BEAUMONT F,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0424-00968726-25,2,4,,"2,340.00",75,,CLONTARF EAST D,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0519-01477107-25,4,7,,"2,049.33",125,,CLONTARF EAST D,05/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1122-00332030-25,4,0,,"4,000.00",135,,CLONTARF EAST B,11/2022,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1024-01198007-25,4,8,,"2,757.00",136,,CLONTARF EAST E,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01506916,4,5,D1,"2,845.00",90,,CLONTARF WEST D,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0918-01392338-25,4,4,D2,"1,950.00",90,,BEAUMONT F,09/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1024-01189639-25,4,7,E1,"2,595.00",91,,CLONTARF WEST E,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01591915,4,4,,"1,000.00",120,,CLONTARF EAST D,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0326-01784022,4,3,A3,"2,000.00",121,,,03/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01509111,4,4,C1,"2,721.00",123,,GRACE PARK,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01486489,4,4,G,"2,100.00",92,,CLONTARF WEST E,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0625-01465923,4,7,C2,"2,700.00",93,,BEAUMONT F,06/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01598801-26,4,6,,"1,583.00",90,,DRUMCONDRA SOUTH A,10/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0524-01001976-25,4,7,D1,"2,848.00",123,,CLONTARF WEST E,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0225-01304570-26,4,5,B3,"2,005.00",120,,BEAUMONT E,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0818-01375484-25,4,6,F,"2,650.00",120,,CLONTARF WEST D,08/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1024-01195576-25,4,7,C2,"2,478.00",95,,CLONTARF WEST E,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0724-01048674-25,4,4,C3,"2,850.00",98,,GRACE PARK,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01646993,4,4,A3,"4,000.00",110,,HARMONSTOWN B,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0624-01022576-25,4,7,D2,"3,200.00",116,,BEAUMONT F,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01519127,4,7,B3,"2,634.00",100,,BEAUMONT D,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01538178,4,5,B3,"3,350.00",100,,BEAUMONT F,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01610702,4,7,C1,"2,500.00",100,,CLONTARF WEST D,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0120-01569472-26,4,5,C3,"2,366.00",100,,CLONTARF WEST E,01/2020,2026
