Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0919-01522298-25,5,5,D2,"1,239.00",110,,BARNA,09/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0624-01042707-25,5,0,E1,"3,213.00",130,,TAYLORS HILL,06/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1124-01213100-25,5,5,,"1,850.00",125,,BARNA,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0119-01433412-25,5,9,,"1,275.00",110,,BARNA,01/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01780214,5,5,C2,650.00,79,,,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1225-01676115,5,10,C2,"3,050.00",133,,BARNA,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0419-01464856-26,5,7,D1,"2,750.00",170,,BARNA,04/2019,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01569632,5,5,,"2,090.00",100,,TAYLORS HILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01476369,5,5,,"2,400.00",100,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01489125,5,5,,"2,450.00",100,,TAYLORS HILL,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0824-01094419-25,5,5,,"3,060.00",100,,TAYLORS HILL,08/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01476560,5,0,,"2,333.00",90,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0625-01469550,5,5,,"3,400.00",90,,TAYLORS HILL,06/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1224-01254673-25,5,5,,"2,500.00",96,,TAYLORS HILL,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1019-01536781-25,3,6,B2,"1,350.00",130,,BARNA,10/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0924-01127401-25,4,4,B3,"2,150.00",123,,BARNA,09/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0125-01263010-25,4,0,C1,"2,600.00",113,,BARNA,01/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01742950,4,5,C1,"2,400.00",110,,BARNA,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01555529,4,4,C1,"2,700.00",110,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01476135,4,6,C2,"2,565.00",120,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1023-00750588-25,4,6,C3,"1,500.00",120,,BARNA,10/2023,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1225-01684772,3,5,C3,"1,945.00",130,,BARNA,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0119-01436285-26,3,5,C3,947.00,110,,BARNA,01/2019,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1124-01224535-25,4,5,C3,"2,850.00",117,,BARNA,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01622818,4,3,C3,"2,683.00",112,,BARNA,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0225-01317691-26,4,8,C3,"2,750.00",112,,BARNA,02/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0524-00984951-25,4,7,C3,"1,200.00",112,,BARNA,05/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1219-01559196-25,4,6,C3,"1,408.00",110,,BARNA,12/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0824-01118399-25,4,4,C3,"1,254.00",110,,BARNA,08/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0219-01443909-26,4,0,C3,950.00,109,,BARNA,02/2019,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0924-01133408-25,4,7,C3,"2,200.00",111,,BARNA,09/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0825-01528491,4,4,C3,"1,750.00",90,,BARNA,08/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01764822,4,0,C2,"2,000.00",90,,ROCKBARTON,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0924-01132050-25,4,4,C3,"1,600.00",100,,BARNA,09/2024,2025
