Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01529990,2,3,C3,"2,450.00",50,,MERCHANTS QUAY A,08/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01135985-25,2,4,C3,"1,778.00",50,,MERCHANTS QUAY A,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01770998,2,3,D1,"2,550.00",50,,MERCHANTS QUAY A,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01709137,2,4,D1,"2,250.00",50,,MERCHANTS QUAY A,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01069656-25,2,2,D1,"1,831.00",100,,MERCHANTS QUAY A,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01058907-25,2,4,D1,"2,244.00",50,,MERCHANTS QUAY A,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0624-01026846-25,2,4,D1,"2,300.00",50,,MERCHANTS QUAY A,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0524-01003896-25,2,4,B3,"1,812.00",73,,USHERS C,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0518-01339526-25,2,0,B3,"1,645.00",73,,USHERS C,05/2018,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01740395,1,2,,"1,581.00",33,,MERCHANTS QUAY B,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01742323,1,2,C2,"1,750.00",34,,MERCHANTS QUAY B,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01302866-26,1,2,,"1,800.00",65,,MERCHANTS QUAY B,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0219-01445073-26,1,0,,"1,410.00",65,,MERCHANTS QUAY B,02/2019,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1118-01415161-25,1,2,,"1,600.00",65,,MERCHANTS QUAY B,11/2018,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0524-01007841-25,1,2,,"1,428.00",65,,MERCHANTS QUAY B,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0525-01438425-26,1,1,C3,"2,100.00",35,,MERCHANTS QUAY B,05/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0425-01408101,1,2,D2,"2,100.00",35,,MERCHANTS QUAY B,04/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0319-01464142-25,1,2,E1,"1,268.37",35,,MERCHANTS QUAY B,03/2019,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01734935,1,2,E2,"1,850.00",35,,MERCHANTS QUAY B,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01134763-25,1,2,E2,"1,380.00",35,,MERCHANTS QUAY B,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1225-01696100,1,1,G,"1,608.00",35,,MERCHANTS QUAY B,12/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01493062,1,2,G,"1,399.00",35,,MERCHANTS QUAY B,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0319-01454214-26,1,1,C3,"1,300.00",62,,MERCHANTS QUAY B,03/2019,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1225-01695087,1,2,E2,"2,052.00",60,,MERCHANTS QUAY B,12/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01571407,1,2,E2,"1,531.00",60,,MERCHANTS QUAY B,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0119-01437395-26,1,2,,"1,787.00",60,,MERCHANTS QUAY B,01/2019,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01254949-25,1,2,,"1,890.00",60,,MERCHANTS QUAY B,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0325-01356542-25,1,2,A1,"1,785.00",42,,MERCHANTS QUAY B,03/2025,2025
