Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0918-01393555-25,1,2,C2,963.00,65,,SALTHILL,09/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0724-01059893-25,1,2,C2,"1,120.00",60,,SALTHILL,07/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01648971,1,2,C3,"1,417.00",48,,SALTHILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0225-01313974-26,1,1,C3,"1,350.00",49,,SALTHILL,02/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0724-01079439-25,1,0,C3,"1,122.00",50,,SALTHILL,07/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0226-01744556-25,1,0,D2,838.00,55,,SALTHILL,02/2026,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0524-00986435-25,1,2,A2,"1,900.00",87,,BARNA,05/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0524-01010845-25,1,1,C3,"1,292.00",90,,BARNA,05/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0125-01266991-25,1,2,,"1,050.00",90,,BARNA,01/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1025-01606773,1,1,,"1,600.00",78,,SALTHILL,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0718-01371579-25,1,1,,846.00,75,,SALTHILL,07/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0525-01424415,1,1,,850.00,70,,SALTHILL,05/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1218-01430765-25,1,1,,"1,250.00",70,,SALTHILL,12/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0220-01571460-25,1,1,,"1,250.00",70,,SALTHILL,02/2020,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1024-01186890-25,1,1,E1,550.00,35,,TAYLORS HILL,10/2024,2025
